指标,权重
道路网密度,0.057316686878849506
万人公交车标台数,0.04502804066395883
公交站点500m覆盖率,0.019865212943571645
新能源充电桩数量,0.1751218201687291
人均道路面积,0.02611872205236073
绿色交通出行分担率,0.03227524381839237
私家车拥有量,0.012136579033621964
城市化率,0.031926549371544655
人口密度,0.13966780268268364
人均GDP,0.049543172458443537
全年空气质量优良天数,0.028006467018727034
可吸入颗粒物年均浓度,0.017542970306469414
二氧化碳年排放量,0.01113937805041907
高峰期平均车速,0.04122356408231108
高峰拥堵延时指数,0.015800342455688517
建成区绿化覆盖率,0.07309878938724429
环保财政支出占比,0.044118434378060525
道路运输财政支出占比,0.039613917096131955
新能源车辆占有率,0.14045630715279214
