Year,Region,LowAltitude,GreenTransport
2016,东北,0.09692346439865696,0.18315138919060484
2016,东部,0.15408063483487378,0.24794701676668335
2016,中部,0.09221242905087856,0.16475666205751358
2016,西部,0.07182422091781275,0.16415555919218303
2017,东北,0.08237288214133735,0.18671709916369636
2017,东部,0.1526526934455996,0.25725054313065226
2017,中部,0.08603944721934786,0.17165982347576694
2017,西部,0.07510016000066103,0.16933286722085936
2018,东北,0.0873765133848744,0.19604670648041944
2018,东部,0.16726299208119746,0.2700806681162512
2018,中部,0.09938985070987745,0.18105591087071568
2018,西部,0.08227129863816747,0.17676527967103267
2019,东北,0.1182039006762774,0.18979644005667637
2019,东部,0.20303518809604296,0.2608173513635361
2019,中部,0.11717498383240739,0.17878783531084338
2019,西部,0.07720309026953655,0.1715095361133312
2020,东北,0.08284878284507312,0.22045218922841903
2020,东部,0.1800550977516596,0.30965335583770637
2020,中部,0.1058444031687192,0.2132585503162636
2020,西部,0.07373139076664183,0.20302631450711536
2021,东北,0.07652554183855903,0.22457549772020058
2021,东部,0.19497823930592031,0.32852930777213135
2021,中部,0.10488324719240223,0.22468393610812132
2021,西部,0.07656205896938847,0.2098758299763768
2022,东北,0.06859548136722986,0.23335179703726353
2022,东部,0.19597200132895246,0.3619198803610997
2022,中部,0.09567746252030485,0.24213646832839122
2022,西部,0.07462969816769563,0.22306351184957948
2023,东北,0.09097905219284162,0.24004345199263868
2023,东部,0.23583780895872994,0.40028942864184236
2023,中部,0.12743112772257686,0.25917729864963457
2023,西部,0.08881847051400195,0.23250770693027104
