省份,年份,预测值,情景,基准预测值,相对基准提升
山东,2024,0.3259877702150217,基准情景,0.3259877702150217,0.0
山东,2025,0.3284124043362483,基准情景,0.3284124043362483,0.0
山东,2026,0.3278280512751775,基准情景,0.3278280512751775,0.0
山东,2027,0.3278324535652944,基准情景,0.3278324535652944,0.0
山东,2028,0.3297176451780181,基准情景,0.3297176451780181,0.0
山东,2029,0.3286831449889417,基准情景,0.3286831449889417,0.0
山东,2030,0.3288056721058844,基准情景,0.3288056721058844,0.0
山东,2024,0.326256873162451,加大投入情景,0.3259877702150217,0.0002691029474293227
山东,2025,0.3285308160666413,加大投入情景,0.3284124043362483,0.00011841173039300879
山东,2026,0.3283491296174985,加大投入情景,0.3278280512751775,0.000521078342321013
山东,2027,0.3281219032282294,加大投入情景,0.3278324535652944,0.00028944966293498187
山东,2028,0.3297176451780181,加大投入情景,0.3297176451780181,0.0
山东,2029,0.3289698576067278,加大投入情景,0.3286831449889417,0.00028671261778612234
山东,2030,0.3292455273278362,加大投入情景,0.3288056721058844,0.0004398552219517793
山东,2024,0.3259075488030876,重点投入情景,0.3259877702150217,-8.022141193408938e-05
山东,2025,0.32819771289782573,重点投入情景,0.3284124043362483,-0.0002146914384225651
山东,2026,0.32808905502574215,重点投入情景,0.3278280512751775,0.00026100375056464786
山东,2027,0.3278324535652944,重点投入情景,0.3278324535652944,0.0
山东,2028,0.32945757058626174,重点投入情景,0.3297176451780181,-0.00026007459175636516
山东,2029,0.3286831449889417,重点投入情景,0.3286831449889417,0.0
山东,2030,0.32886056127206675,重点投入情景,0.3288056721058844,5.488916618234807e-05
